Timestamp,TotalIn,TotalOut,RateIn,RateOut
2023-03-22 13:36:50,11 MB,1.6 MB,45 kB/s,6.5 kB/s
2023-03-22 13:36:51,11 MB,1.6 MB,19 kB/s,6.5 kB/s
2023-03-22 13:36:52,11 MB,1.6 MB,9.7 kB/s,3.5 kB/s
2023-03-22 13:36:53,11 MB,1.6 MB,45 kB/s,9.6 kB/s
2023-03-22 13:36:54,11 MB,1.6 MB,68 kB/s,8.0 kB/s
2023-03-22 13:36:55,11 MB,1.6 MB,68 kB/s,12 kB/s
2023-03-22 13:36:56,11 MB,1.6 MB,70 kB/s,12 kB/s
2023-03-22 13:36:57,11 MB,1.7 MB,65 kB/s,11 kB/s
2023-03-22 13:36:58,11 MB,1.7 MB,70 kB/s,11 kB/s
2023-03-22 13:37:00,11 MB,1.7 MB,64 kB/s,8.9 kB/s
2023-03-22 13:37:01,11 MB,1.7 MB,32 kB/s,3.9 kB/s
2023-03-22 13:37:02,11 MB,1.7 MB,13 kB/s,1.4 kB/s
2023-03-22 13:37:03,11 MB,1.7 MB,5.7 kB/s,524 B/s
2023-03-22 13:37:04,11 MB,1.7 MB,3.3 kB/s,193 B/s
2023-03-22 13:37:05,11 MB,1.7 MB,2.9 kB/s,71 B/s
2023-03-22 13:37:06,11 MB,1.7 MB,3.3 kB/s,26 B/s
2023-03-22 13:37:07,11 MB,1.7 MB,3.0 kB/s,9 B/s
2023-03-22 13:37:08,11 MB,1.7 MB,2.1 kB/s,3 B/s
2023-03-22 13:37:09,11 MB,1.7 MB,6.2 kB/s,0 B/s
2023-03-22 13:37:10,11 MB,1.7 MB,3.4 kB/s,0 B/s
2023-03-22 13:37:11,11 MB,1.7 MB,3.0 kB/s,0 B/s
2023-03-22 13:37:12,11 MB,1.7 MB,1.2 kB/s,0 B/s
2023-03-22 13:37:13,11 MB,1.7 MB,1.4 kB/s,0 B/s
2023-03-22 13:37:14,11 MB,1.7 MB,1.1 kB/s,0 B/s
2023-03-22 13:37:15,11 MB,1.7 MB,672 B/s,0 B/s
2023-03-22 13:37:16,11 MB,1.7 MB,1.5 kB/s,0 B/s
2023-03-22 13:37:17,11 MB,1.7 MB,629 B/s,0 B/s
2023-03-22 13:37:18,11 MB,1.7 MB,231 B/s,0 B/s
2023-03-22 13:37:19,11 MB,1.7 MB,85 B/s,0 B/s
2023-03-22 13:37:21,11 MB,1.7 MB,31 B/s,0 B/s
2023-03-22 13:37:22,11 MB,1.7 MB,976 B/s,0 B/s
2023-03-22 13:37:23,11 MB,1.7 MB,359 B/s,0 B/s
2023-03-22 13:37:24,11 MB,1.7 MB,2.2 kB/s,0 B/s
2023-03-22 13:37:25,11 MB,1.7 MB,2.8 kB/s,0 B/s
2023-03-22 13:37:26,11 MB,1.7 MB,1.6 kB/s,0 B/s
2023-03-22 13:37:27,11 MB,1.7 MB,591 B/s,0 B/s
2023-03-22 13:37:28,11 MB,1.7 MB,1.2 kB/s,0 B/s
2023-03-22 13:37:29,11 MB,1.7 MB,163 B/s,0 B/s
2023-03-22 13:37:30,11 MB,1.7 MB,199 B/s,0 B/s
2023-03-22 13:37:31,11 MB,1.7 MB,1.0 kB/s,0 B/s
2023-03-22 13:37:32,11 MB,1.7 MB,514 B/s,0 B/s
2023-03-22 13:37:33,11 MB,1.7 MB,189 B/s,0 B/s
2023-03-22 13:37:34,11 MB,1.7 MB,1.6 kB/s,0 B/s
2023-03-22 13:37:35,11 MB,1.7 MB,1.2 kB/s,0 B/s
2023-03-22 13:37:36,11 MB,1.7 MB,1.5 kB/s,0 B/s
2023-03-22 13:37:37,11 MB,1.7 MB,740 B/s,0 B/s
2023-03-22 13:37:38,11 MB,1.7 MB,351 B/s,0 B/s
2023-03-22 13:37:39,11 MB,1.7 MB,2.0 kB/s,0 B/s
2023-03-22 13:37:41,11 MB,1.7 MB,1.6 kB/s,0 B/s
2023-03-22 13:37:42,11 MB,1.7 MB,828 B/s,0 B/s
2023-03-22 13:37:43,11 MB,1.7 MB,1.3 kB/s,0 B/s
2023-03-22 13:37:44,11 MB,1.7 MB,1.5 kB/s,0 B/s
2023-03-22 13:37:45,11 MB,1.7 MB,960 B/s,0 B/s
2023-03-22 13:37:46,11 MB,1.7 MB,8.6 kB/s,0 B/s
2023-03-22 13:37:47,11 MB,1.7 MB,3.8 kB/s,0 B/s
2023-03-22 13:37:48,11 MB,1.7 MB,1.4 kB/s,0 B/s
2023-03-22 13:37:49,11 MB,1.7 MB,569 B/s,0 B/s
2023-03-22 13:37:50,11 MB,1.7 MB,44 kB/s,0 B/s
2023-03-22 13:37:51,11 MB,1.7 MB,27 kB/s,3.9 kB/s
2023-03-22 13:37:52,12 MB,1.7 MB,45 kB/s,7.0 kB/s
2023-03-22 13:37:53,12 MB,1.7 MB,16 kB/s,2.6 kB/s
2023-03-22 13:37:54,12 MB,1.7 MB,7.9 kB/s,1.4 kB/s
2023-03-22 13:37:55,12 MB,1.7 MB,3.6 kB/s,527 B/s
2023-03-22 13:37:56,12 MB,1.7 MB,1.6 kB/s,194 B/s
2023-03-22 13:37:57,12 MB,1.7 MB,1.8 kB/s,120 B/s
2023-03-22 13:37:58,12 MB,1.7 MB,53 kB/s,11 kB/s
2023-03-22 13:38:00,12 MB,1.7 MB,62 kB/s,9.7 kB/s
2023-03-22 13:38:01,12 MB,1.7 MB,26 kB/s,4.1 kB/s
2023-03-22 13:38:02,12 MB,1.7 MB,10 kB/s,1.5 kB/s
2023-03-22 13:38:03,12 MB,1.7 MB,3.9 kB/s,549 B/s
2023-03-22 13:38:04,12 MB,1.7 MB,1.7 kB/s,202 B/s
2023-03-22 13:38:05,12 MB,1.7 MB,1.2 kB/s,2.2 kB/s
2023-03-22 13:38:06,12 MB,1.8 MB,66 kB/s,9.3 kB/s
2023-03-22 13:38:07,12 MB,1.8 MB,31 kB/s,3.5 kB/s
2023-03-22 13:38:08,12 MB,1.8 MB,12 kB/s,1.3 kB/s
2023-03-22 13:38:09,12 MB,1.8 MB,7.1 kB/s,468 B/s
2023-03-22 13:38:10,12 MB,1.8 MB,3.3 kB/s,172 B/s
2023-03-22 13:38:11,12 MB,1.8 MB,1.5 kB/s,63 B/s
2023-03-22 13:38:12,12 MB,1.8 MB,731 B/s,46 B/s
2023-03-22 13:38:13,12 MB,1.8 MB,933 B/s,16 B/s
2023-03-22 13:38:14,12 MB,1.8 MB,1.0 kB/s,463 B/s
2023-03-22 13:38:15,12 MB,1.8 MB,849 B/s,170 B/s
2023-03-22 13:38:17,12 MB,1.8 MB,2.3 kB/s,112 B/s
2023-03-22 13:38:18,12 MB,1.8 MB,47 kB/s,8.4 kB/s
2023-03-22 13:38:19,12 MB,1.8 MB,62 kB/s,9.1 kB/s
2023-03-22 13:38:20,12 MB,1.8 MB,23 kB/s,3.8 kB/s
2023-03-22 13:38:21,12 MB,1.8 MB,12 kB/s,1.5 kB/s
2023-03-22 13:38:22,12 MB,1.8 MB,4.4 kB/s,537 B/s
2023-03-22 13:38:23,12 MB,1.8 MB,1.6 kB/s,197 B/s
2023-03-22 13:38:24,12 MB,1.8 MB,64 kB/s,12 kB/s
2023-03-22 13:38:25,12 MB,1.8 MB,40 kB/s,5.3 kB/s
2023-03-22 13:38:26,12 MB,1.8 MB,16 kB/s,2.0 kB/s
